Date,Open,High,Low,Close,Volume,MA_10,MA_50,EMA_12,EMA_26,MACD,RSI,BB_Width,Volatility,Vol_MA5,Lag_1,Lag_2,Lag_3,Lag_5
2019-03-14,59.725498,59.894001,59.223999,59.2775,23456000,58.210650199999996,55.33027992,58.038535568784056,56.91104275648666,1.1274928122973975,78.46002079975484,0.10604785276509786,0.012908556427652674,30213600.0,59.666,59.66,58.787998,57.165001
2019-03-15,59.668999,59.828499,59.130501,59.223,49236000,58.42800020000001,55.46888992,58.220760865894206,57.08229884859876,1.1384620172954456,78.38880140565176,0.11048573522480425,0.012183576822196186,35211200.0,59.2775,59.666,59.66,57.116001
2019-03-18,59.165001,59.5,58.871052,59.213001,25852000,58.61030039999999,55.63708992000001,58.37341319421817,57.24012863759144,1.1332845566267338,77.28745183633495,0.11225097647330451,0.012217421440453695,33504800.0,59.223,59.2775,59.666,58.787998
2019-03-19,59.440498,60.0,59.293499,59.942501,30414000,58.794400399999994,55.76522994,58.61481131818461,57.440304368140225,1.1745069500443819,79.49979156140483,0.11684557934894974,0.01221094093634969,31535200.0,59.213001,59.223,59.2775,59.66
2019-03-20,59.8675,61.356998,59.808498,61.198502,44548000,59.12495039999999,55.92081002,59.01230219231005,57.718689377907616,1.2936128144024366,82.19569706762374,0.12580354437154134,0.013128802835003324,34701200.0,59.942501,59.213001,59.223,59.666
2019-03-21,60.799999,61.5895,60.657501,61.577,24080000,59.56615029999999,56.076070040000005,59.406871085800816,58.004490164729276,1.4023809210715399,80.57263286072642,0.12891930547907443,0.011471826895350704,34826000.0,61.198502,59.942501,59.213001,59.2775
2019-03-22,61.316002,61.5,60.141251,60.275002,34284000,59.882050400000004,56.206910040000004,59.54042968798531,58.17267622660118,1.367753461384126,67.2424337539932,0.1254967061625858,0.01450963350408227,31835600.0,61.577,61.198502,59.942501,59.223
2019-03-25,59.8465,60.319901,59.352001,59.650002,29936000,59.9682508,56.329580099999994,59.5572869667568,58.282107765371464,1.2751792013853347,59.35142169529424,0.11766281650076214,0.012577003731801217,32652400.0,60.275002,61.577,61.198502,59.213001
2019-03-26,59.926498,60.141499,58.835999,59.230999,38024000,59.9253507,56.45701006,59.50708881802498,58.35239600497358,1.1546928130514047,57.87984182208759,0.1088307189219208,0.01188822798115135,34174400.0,59.650002,60.275002,61.577,59.942501
2019-03-27,59.275002,59.377949,57.968498,58.651001,28004000,59.82385079999999,56.58534006,59.37538299986729,58.37451489349405,1.0008681063732396,58.90674116546039,0.09814676658176812,0.012224942860567377,30865600.0,59.230999,59.650002,60.275002,61.198502
2019-03-28,58.577,58.578251,57.97155,58.4245,19234000,59.738550800000006,56.676680100000006,59.229093307580015,58.37821749397597,0.8508758136040484,57.67943802227855,0.08711885033316452,0.012136201190611198,29896400.0,58.651001,59.230999,59.650002,61.577
2019-03-29,58.744999,58.949501,58.144001,58.665501,25398000,59.6828009,56.76902011999999,59.14238679872155,58.39949775368145,0.7428890450401013,49.135945570452286,0.081643270335736,0.01226175943398019,28119200.0,58.4245,58.651001,59.230999,60.275002
2019-04-01,59.205002,59.833,59.099998,59.7215,25050000,59.7336508,56.87355014,59.231481137379774,58.49742384600134,0.7340572913784342,50.42282573251728,0.07754776958452908,0.013646425135528216,27142000.0,58.665501,58.4245,58.651001,59.650002
